,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE_exp,split1_test_MSE_exp,split2_test_MSE_exp,split3_test_MSE_exp,split4_test_MSE_exp,mean_test_MSE_exp,std_test_MSE_exp,rank_test_MSE_exp,split0_test_R2_exp,split1_test_R2_exp,split2_test_R2_exp,split3_test_R2_exp,split4_test_R2_exp,mean_test_R2_exp,std_test_R2_exp,rank_test_R2_exp,split0_test_MAE_exp,split1_test_MAE_exp,split2_test_MAE_exp,split3_test_MAE_exp,split4_test_MAE_exp,mean_test_MAE_exp,std_test_MAE_exp,rank_test_MAE_exp,model_name,feature_col,scaling,param_alpha,param_fit_intercept,param_min_samples_leaf,param_min_samples_split
277,2.968029260635376,0.10314765101919145,0.013748741149902344,0.004255505378792799,0.8,0.2,7.0,300.0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.17266550990585883,0.0077130630848167864,0.1628488044323119,0.13836952882710668,0.24312005128833558,0.14494339150768595,0.07694563651794785,432,0.9102891708385215,0.9951845406073795,0.9051582684788924,0.9178017997761481,0.8672224996902536,0.9191312558782391,0.041842120848051466,1,0.2404390589225828,0.06502587421822201,0.2504372190101553,0.21989453498127956,0.2958236978698906,0.21432407700042608,0.07867569238918522,423,1800.0947076433638,14.700219806618556,456.6654226050294,81.52131478898576,546.9435262746026,579.98503822372,643.8913082241152,418,0.6545526932044743,0.9772039720274631,0.5665416022457678,0.8905471049011695,0.7736312083521187,0.7724953161461986,0.14978020126026,3,6.768049413709558,0.8446949948560978,3.4052358963684073,2.354544712305345,4.493369261719262,3.573178855791734,2.0005922351987735,430,XGBoost,conc_morgan_fp,y_minmax,,,,
133,2.7412739753723145,0.3011540429209568,0.013313484191894532,0.003718834328656542,0.6,0.2,7.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.20093881507762945,0.009196972882709882,0.19989167161506152,0.1603940683028029,0.2472456710986218,0.1635334397953651,0.08192486980554953,431,0.9069924610413493,0.9948847037807262,0.896289043352219,0.9151161263450189,0.87970503592919,0.9185974740897007,0.03994202136082063,1,0.2541650323747497,0.07415280663359226,0.27171693993404433,0.23819161035022382,0.3012384178174262,0.22789296142200727,0.07966481800987708,423,4039.2449691550523,51.289163078455125,1495.9703975374828,160.68881851469905,1165.4467430412294,1382.5280182653837,1441.05699611217,430,0.6981552217847329,0.9638195417100143,0.41312768597664573,0.9034735857841035,0.8036817069475738,0.756451548440614,0.19396772319566366,1,10.266655696155812,1.3827493767416719,5.333858961936052,3.5477793214460522,6.566795118677102,5.419567694991338,2.987213842010866,428,XGBoost,conc_morgan_fp,Literature,,,,
249,3.603132152557373,0.3941051206565988,0.01576366424560547,0.0022814163163289727,0.8,0.1,9.0,300.0,0.6,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.6}",0.19149883346756982,0.015713284282801117,0.18100086529028825,0.15540187707016784,0.23846264636408232,0.15641550129498188,0.07531952686961836,432,0.9073314251785992,0.9908629734847775,0.9018200906486813,0.9140184672807901,0.8787026969345906,0.9185471307054878,0.038061147463901934,1,0.25360078401398667,0.09354545562124383,0.26798570051115855,0.24147154967312578,0.30242360488340514,0.23180541894058398,0.07208360484807581,411,4154.957515607363,68.26752642396315,1014.6077229127842,147.29818735108802,1123.3164939631977,1301.6894892516793,1490.5918497379237,398,0.6048505012787857,0.9423331988432758,0.5047645865320297,0.8933375833517525,0.7633059501380222,0.7417183640287732,0.16648160740064336,16,9.90989819351622,1.7365220443774276,4.73512069517303,3.3206670474677984,6.353162243049441,5.211074044716783,2.801999130740891,410,XGBoost,conc_morgan_fp,y_standard,,,,
134,2.501196336746216,0.07127543987640708,0.014957761764526368,0.0045725907404570035,0.6,0.2,7.0,300.0,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.5436344416739662,0.3559906547691622,0.5782103875725938,0.5636227403950943,0.6146584266236333,0.5312233302068899,0.09064154332690387,432,0.7175469695719809,0.7777460752826169,0.6632552843599834,0.6651808005821855,0.6643106605196603,0.6976079580632853,0.04507775231304573,1,0.49322669555209736,0.33381693200907514,0.493214293949179,0.4768658113460063,0.5276302957026949,0.4649508057118106,0.06762415155943792,428,2804.7950578668683,133.03773384842026,524.7760588271466,182.08229087791287,535.250401201343,835.9883085243382,998.5218034545578,426,0.4617455988624175,0.7936947921794978,0.5018922423742741,0.7555310051806527,0.7784707547883853,0.6582668786770455,0.1451369299600423,21,9.577599721974472,3.4755986332216247,5.445264106276471,4.905656931242373,6.079593131415758,5.89674250482614,2.031263902608823,426,XGBoost,conc_torsion_fp,y_minmax,,,,
134,2.302604866027832,0.14933446471849252,0.012833356857299805,0.002219765458560959,0.6,0.2,7.0,300.0,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.6140582418409557,0.399757880419445,0.6428141532724994,0.6299525491067967,0.6845462227150786,0.594225809470955,0.10000610474392785,432,0.7157739492549566,0.7776572791490113,0.6664850003805713,0.6666160216968566,0.6669407278177495,0.698694595659829,0.04382148048965004,1,0.5239715280168096,0.3526577775223584,0.5193502919617359,0.5081199764756168,0.5547923221326408,0.4917783792218323,0.07125862168280778,429,7821.294133663035,254.74685551548558,1342.5376118896586,395.071260022805,1523.0574846266784,2267.341469143533,2821.7563267755354,419,0.415530176763274,0.8202961907102218,0.47331968851119566,0.7626791182967779,0.7434425490585856,0.643053544668011,0.1651542615333698,25,14.703182504955725,4.757263175647664,7.976501343582032,7.014966478202503,9.201629176113794,8.730708535700344,3.322441237669513,422,XGBoost,conc_torsion_fp,Literature,,,,
134,2.3269800662994387,0.06872895677050772,0.015221929550170899,0.0024980974119066073,0.6,0.2,7.0,300.0,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.587350695263213,0.38237105879624433,0.6148560040154366,0.602553486632246,0.6547729022850883,0.5683808293984456,0.09565646155504647,432,0.7157739769750697,0.7776572713892119,0.6664849825909167,0.666616174124128,0.6669407625115799,0.6986946335181813,0.0438214551249178,1,0.5124501538578532,0.34490336763236806,0.5079306306319664,0.49694743528272284,0.5425932840409365,0.4809649742891694,0.06969176649041181,429,6012.122065098887,212.32625389908833,1058.56701778432,333.2722018667638,1193.859607303432,1762.0294291904981,2159.8097541545358,420,0.42822832451337267,0.8206442139427959,0.4833078214396386,0.7586690027076628,0.7484418087530211,0.6478582342712982,0.15972802650215223,25,13.236427658592559,4.432498099177344,7.372321552270296,6.5474738843757825,8.444343058058106,8.006612850494818,2.9273974410949823,422,XGBoost,conc_torsion_fp,y_standard,,,,
88,1.2704962730407714,0.18458493739012558,0.0035906314849853517,0.00015182957869814585,0.6,0.1,5.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.09853408346859076,0.00345291351549378,0.04948225736204296,0.0486060395114682,0.0844434901601993,0.05690375680355899,0.033083060396575444,432,0.9488052111075735,0.9978442591954392,0.971181962408942,0.9711256589386504,0.9538820616338037,0.9685678306568818,0.017185565929344903,1,0.16254161542721848,0.0431340135051374,0.14483936940793415,0.13409534328430361,0.16297771303892739,0.12951761093270422,0.04456007434149245,367,1199.8604725930468,13.163068920242448,177.45006982046218,22.11689292549986,379.13625809984484,358.3453524718192,441.2490109499995,419,0.7697406880717337,0.9795876734322586,0.8315676660891402,0.970305214439281,0.8430832206744663,0.878856892541376,0.08237943725467273,9,5.463753275136118,0.5861663915820742,2.1131170799080157,1.4146325479366428,3.285784054997188,2.572690669912008,1.6950121161852496,409,XGBoost,conc_descirptors,y_minmax,,,,
88,1.3121203422546386,0.07194064776013567,0.0040245532989501955,0.00048580504323782506,0.6,0.1,5.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.10871775818624632,0.003883562647432397,0.05787015102771993,0.05414396022808339,0.09456442515668506,0.06383597144923342,0.03655798151952216,432,0.9496783579315026,0.9978399878328368,0.9699748935213558,0.9713458912301894,0.9539906034509995,0.9685659467933767,0.016946175658817026,1,0.17240878215873554,0.04665615494329929,0.15333491106948138,0.14187070315822534,0.17284646324790756,0.13742340291552982,0.04688372391296693,362,3475.5685648254366,37.40841933375321,436.24079537911507,40.82114298425197,1027.989387250882,1003.6056619546878,1287.9122014073976,409,0.7402776433138345,0.9736113113538464,0.8288618240862515,0.975478576587432,0.8268362557224433,0.8690131222127615,0.09191247193098584,8,8.64709214486724,0.9037697029067405,3.113406273090291,1.9108638456618645,5.160692582926012,3.94716490989043,2.7446637426762654,405,XGBoost,conc_descirptors,Literature,,,,
88,1.2395732879638672,0.020957110374478435,0.0038794517517089845,0.0006581851297944912,0.6,0.1,5.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.10398924783198488,0.0037146563742243024,0.055353185641023435,0.05226447230927038,0.09141971067144351,0.0613482545655893,0.03510736210838214,432,0.9496783598163724,0.9978399860159485,0.9699748907839393,0.9710828497014697,0.9534981074791244,0.9684148387593708,0.01702325380793169,1,0.16861769362760412,0.045630307618706796,0.14996332811316176,0.13874337724570537,0.16953967727349256,0.1344988767757341,0.045927636530350126,361,2647.2535033871554,29.17301644776679,336.148710716764,33.73344068976805,800.9571788293035,769.4531700141515,980.2221763371409,409,0.7482378842811099,0.9753570309815021,0.8359240305596888,0.9755727455270385,0.8312302904462263,0.873264396359113,0.0890872628987202,9,7.700447633028025,0.8247909786694684,2.8483635221157013,1.7781527202055034,4.620038894651517,3.5543587497340434,2.4260916939404047,404,XGBoost,conc_descirptors,y_standard,,,,
124,0.42171545028686525,0.02879570020454798,0.0068070411682128905,0.005110851904766531,0.6,0.2,5.0,300.0,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.16562158561339324,0.0017711301339780085,0.16491520676164045,0.1147043715525237,0.18223724780627332,0.12584990837356175,0.06604117215400662,432,0.9139489422032387,0.9988942388846778,0.9039548136815669,0.9318600491065747,0.900473012823004,0.9298262113398124,0.036214792779175796,1,0.2130122218821292,0.03213506136224685,0.2285799098609225,0.19293911905424663,0.2325485305313482,0.17984296853817866,0.07515650348777646,400,1869.8080781761396,2.2928581269281754,563.2667883726779,80.53999025573896,230.6806399028795,549.3176709668728,687.6638293190733,402,0.6411743437232329,0.9964444029622618,0.4653575516984977,0.8918646598433757,0.9045259790036213,0.7798733874461978,0.196540557698669,73,6.110618906573444,0.3510585947279181,3.26039631519233,2.1463992930865765,3.3979153634859336,3.0532776946132407,1.877947019012383,421,XGBoost,conc_morfeus_descirptors,y_minmax,,,,
